,A_Price,B_Price,A_PI,B_PI,CONS_1,CONS_2
560000,1.8119673542709749,1.5482690365284717,0.18697109404607162,0.3625104394541331,1.4729266600306137,1.4729266600306137
570000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
580000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
590000,1.8496385425199038,1.5105978482795426,0.15649164543268637,0.3650143534932414,1.4729266600306137,1.4729266600306137
600000,1.6989537895241877,1.5482690365284717,0.22351838129363097,0.3203499986860943,1.4729266600306137,1.4729266600306137
610000,1.5105978482795426,1.4352554717816846,0.20482047014204044,0.23600528656727496,1.4729266600306137,1.4729266600306137
620000,1.4729266600306137,1.5482690365284717,0.25409096534151626,0.21792448714600277,1.4729266600306137,1.4729266600306137
630000,1.4729266600306137,1.9249809190177618,0.3679242907599425,0.11797738280546102,1.4729266600306137,1.4729266600306137
640000,1.4352554717816846,1.6236114130263297,0.2763159752474207,0.18636657592506103,1.4729266600306137,1.4729266600306137
650000,1.4352554717816846,1.5482690365284717,0.2500351955978522,0.20041303063995036,1.4729266600306137,1.4729266600306137
660000,1.5105978482795426,1.7742961660220458,0.34280733828285875,0.18104533609418008,1.4729266600306137,1.4729266600306137
670000,1.5482690365284717,1.5859402247774006,0.2708468248857,0.2489669996340264,1.4729266600306137,1.4729266600306137
680000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
690000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883,1.4729266600306137,1.4729266600306137
700000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
710000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
720000,1.9249809190177618,1.4352554717816846,0.10472711401675519,0.3494707554842805,1.4729266600306137,1.4729266600306137
730000,1.4729266600306137,1.7366249777731166,0.3217824134888718,0.17455168745436303,1.4729266600306137,1.4729266600306137
740000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
750000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
760000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
770000,1.9249809190177618,1.8496385425199038,0.2991074451952921,0.3713742332101454,1.4729266600306137,1.4729266600306137
780000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883,1.4729266600306137,1.4729266600306137
790000,1.8119673542709749,1.6989537895241877,0.26684011132012,0.36098210966674266,1.4729266600306137,1.4729266600306137
800000,1.5859402247774006,1.8119673542709749,0.36718611795801503,0.20602606528831713,1.4729266600306137,1.4729266600306137
810000,1.962652107266691,1.5482690365284717,0.13544020388424313,0.4046961537849659,1.4729266600306137,1.4729266600306137
820000,1.8496385425199038,1.5105978482795426,0.15649164543268637,0.3650143534932414,1.4729266600306137,1.4729266600306137
830000,1.5482690365284717,1.5105978482795426,0.23563338706551187,0.2551312419795833,1.4729266600306137,1.4729266600306137
840000,1.6236114130263297,1.5482690365284717,0.24231065205340752,0.2879620686223454,1.4729266600306137,1.4729266600306137
850000,1.8496385425199038,1.5482690365284717,0.17387917424570032,0.3745756462373602,1.4729266600306137,1.4729266600306137
860000,1.5859402247774006,1.6989537895241877,0.3206809444410617,0.24341292452193403,1.4729266600306137,1.4729266600306137
870000,1.7742961660220458,1.4729266600306137,0.1632234164310471,0.3328140145464146,1.4729266600306137,1.4729266600306137
880000,1.5482690365284717,1.4729266600306137,0.21792448714600277,0.25409096534151626,1.4729266600306137,1.4729266600306137
890000,1.6612826012752586,1.6989537895241877,0.3122056005008669,0.2838314397462228,1.4729266600306137,1.4729266600306137
900000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
910000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
920000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
930000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
940000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
950000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
960000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
970000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
980000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
990000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
1000000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
1010000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1020000,1.5859402247774006,1.4729266600306137,0.21211330246106208,0.2690500391025014,1.4729266600306137,1.4729266600306137
1030000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1040000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1050000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1060000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1070000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1080000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1090000,1.5859402247774006,1.4729266600306137,0.21211330246106208,0.2690500391025014,1.4729266600306137,1.4729266600306137
1100000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1110000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1120000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1130000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1140000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1150000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1160000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1170000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1180000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1190000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1200000,1.5482690365284717,1.4352554717816846,0.20041303063995036,0.2500351955978522,1.4729266600306137,1.4729266600306137
1210000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
1220000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1230000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1240000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1250000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1260000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1270000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1280000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1290000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1300000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1310000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1320000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1330000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1340000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
1350000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1360000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
