,A_Price,B_Price,A_PI,B_PI
92000,1.7366249777731166,1.4352554717816846,0.1571610926818424,0.31000970655967464
93000,1.887309730768833,1.8119673542709749,0.2968731139124179,0.36721237250984445
94000,1.5482690365284717,1.4352554717816846,0.20041303063995036,0.2500351955978522
95000,1.8119673542709749,1.6989537895241877,0.26684011132012,0.36098210966674266
96000,1.4729266600306137,1.6612826012752586,0.2970277112013236,0.1955160814213221
97000,1.9249809190177618,1.5859402247774006,0.16452783324488374,0.4045143458779721
98000,1.9249809190177618,1.8496385425199038,0.2991074451952921,0.3713742332101454
99000,1.6612826012752586,1.962652107266691,0.42457142091432976,0.18514013365068846
100000,1.5482690365284717,1.7366249777731166,0.33535112538960515,0.21210197164739214
101000,1.4729266600306137,1.5105978482795426,0.23866334562394587,0.2216304105612898
102000,1.6612826012752586,1.5859402247774006,0.2533951122405889,0.30349222106194984
103000,1.6612826012752586,1.5859402247774006,0.2533951122405889,0.30349222106194984
104000,1.887309730768833,1.4729266600306137,0.12890402245423008,0.36044760688973254
105000,1.4352554717816846,1.4729266600306137,0.22155186479368902,0.20705389779099725
106000,1.887309730768833,1.6612826012752586,0.2160548640177567,0.3976722077973953
107000,1.4352554717816846,1.5105978482795426,0.23600528656727496,0.20482047014204044
108000,1.5859402247774006,1.6236114130263297,0.28568873143519924,0.2615244487749342
109000,1.5105978482795426,1.8496385425199038,0.3650143534932414,0.15649164543268637
110000,1.6989537895241877,1.6989537895241877,0.3039013560987007,0.3039013560987007
111000,1.8496385425199038,1.8496385425199038,0.3334506671653235,0.3334506671653235
112000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168
113000,1.6612826012752586,1.8119673542709749,0.36630241075459935,0.24616427311226646
114000,1.887309730768833,1.5859402247774006,0.17833587890473782,0.3931418250269303
115000,1.5482690365284717,1.5105978482795426,0.23563338706551187,0.2551312419795833
116000,1.9249809190177618,1.6612826012752586,0.2005533835049133,0.41169463996394823
117000,1.4352554717816846,1.6236114130263297,0.2763159752474207,0.18636657592506103
118000,1.7742961660220458,1.9249809190177618,0.39651838125757244,0.25925238642335297
119000,1.4352554717816846,1.7742961660220458,0.31954626502627576,0.14646120550128428
120000,1.8496385425199038,1.5482690365284717,0.17387917424570032,0.3745756462373602
